id,szerokosc,dlugosc,nazwa,miasto,kod,ulica,numer
3,52.24009,21.01617,Krakowskie Przedmieście 7,Warszawa,,Krakowskie Przedmieście,7
7,52.23897,21.01718,Krakowskie Przedmieście 16/18,Warszawa,,Krakowskie Przedmieście,16/18
9,52.23900,21.01722,Krakowskie Przedmieście 16/18,Warszawa,,Krakowskie Przedmieście,16/18
10,52.23920,21.01762,Krakowskie Przedmieście 16/18,Warszawa,,Krakowskie Przedmieście,16/18
14,52.24375,21.01527,Krakowskie Przedmieście 52/54,Warszawa,,Krakowskie Przedmieście,52/54
1,52.22839,21.00634,Al. Jerozolimskie 59,Warszawa,,Al. Jerozolimskie,59
81,52.23810,21.00497,Królewska 14,Warszawa,,Królewska,14
88,52.23555,21.03345,Solec 36A,Warszawa,,Solec,36A
92,52.22923,21.01895,Żurawia 4,Warszawa,,Żurawia,4
93,52.22928,21.01913,Żurawia 8,Warszawa,,Żurawia,8
90,52.24018,21.01568,Królewska 1/7,Warszawa,,Królewska,1/7
97,52.22898,21.01410,Nowogrodzka 22,Warszawa,,Nowogrodzka,22
102,52.22988,21.01750,Nowogrodzka 6A,Warszawa,,Nowogrodzka,6A
103,52.22985,21.01780,Nowogrodzka 6,Warszawa,,Nowogrodzka,6
106,52.22988,21.01750,Nowogrodzka 8,Warszawa,,Nowogrodzka,8
110,52.22945,21.01577,Nowogrodzka 12,Warszawa,,Nowogrodzka,12
113,52.22942,21.01535,Nowogrodzka 19,Warszawa,,Nowogrodzka,19
115,52.22927,21.01465,Nowogrodzka 18,Warszawa,,Nowogrodzka,18
126,52.22850,21.01525,Żurawia 24A,Warszawa,,Żurawia,24A
130,52.22853,21.01565,Żurawia 24,Warszawa,,Żurawia,24
136,52.22863,21.01728,Żurawia 16A,Warszawa,,Żurawia,16A
141,52.22898,21.01652,Krucza 41/43,Warszawa,,Krucza,41/43
142,52.22902,21.01632,Krucza 23/31,Warszawa,,Krucza,23/31
163,52.22911,21.02104,Żurawia 1A,Warszawa,,Żurawia,1A
166,52.22832,21.01112,Nowogrodzka 38,Warszawa,,Nowogrodzka,38
202,52.22590,21.01220,Hoża 41,Warszawa,,Hoża,41
207,52.22582,21.01222,Hoża 54,Warszawa,,Hoża,54
260,52.22924,21.01028,Al. Jerozolimskie 45,Warszawa,,Al. Jerozolimskie,45
302,52.24375,21.01527,Krakowskie Przedmieście 64,Warszawa,,Krakowskie Przedmieście,64
304,52.24582,21.01424,Krakowskie Przedmieście 66,Warszawa,,Krakowskie Przedmieście,66
315,52.22943,21.02152,pl. Trzech Krzyży,Warszawa,,pl. Trzech Krzyży, 16
316,52.22952,21.02122,pl. Trzech Krzyży 18,Warszawa,,pl. Trzech Krzyży,18
109,52.23020,21.01867,Al. Jerozolimskie 11/19,Warszawa,,Al. Jerozolimskie,11/19 Buddha SPA
352,52.23343,21.01148,Złota 6,Warszawa,,Złota,6
569,52.20950,21.02573,Spacerowa 20A,Warszawa,,Spacerowa,20A
568,52.20923,21.02640,Spacerowa 20,Warszawa,,Spacerowa,20
571,52.21428,21.02018,T. Boya-Żeleńskiego 4,Warszawa,,T. Boya-Żeleńskiego,4
564,52.20845,21.02767,Spacerowa 10,Warszawa,,Spacerowa,10
566,52.20900,21.02637,Spacerowa 18,Warszawa,,Spacerowa,18
573,52.21435,21.02030,Polna 1,Warszawa,,Polna,1
577,52.21487,21.01915,Polna 10/14,Warszawa,,Polna,10/14
578,52.21487,21.01915,Marszałkowska 7,Warszawa,,Marszałkowska,7
585,52.21583,21.01815,Polna 22,Warszawa,,Polna,22
475,52.22522,21.01748,Wilcza 23,Warszawa,,Wilcza,23
608,52.22548,21.02197,Mokotowska 50,Warszawa,,Mokotowska,50
610,52.22560,21.02153,Mokotowska 59,Warszawa,,Mokotowska,59
992,52.21887,21.01753,Marszałkowska 37,,,Marszałkowska,37
996,52.21832,21.01777,Marszałkowska 27/35A,Warszawa,,Marszałkowska,27/35A
998,52.21281,21.02301,Klonowa 16,Warszawa,,Klonowa,16
1000,52.22385,21.01525,Marszałkowska 58,Warszawa,,Marszałkowska,58
1020,52.21448,21.02146,Marszałkowska 4,Warszawa,,Marszałkowska,4
1021,52.21460,21.02100,Marszałkowska 6,warszawa,,Marszałkowska,6
1014,52.21425,21.02188,al. J. Ch. Szucha 2/4,,,al. J. Ch. Szucha,2/4
1016,52.21539,21.02190,al. J. Ch. Szucha 9,,,al. J. Ch. Szucha,9
2023,52.22500,21.00658,E. Plater 27,,,E. Plater,27
2024,52.22513,21.00870,Hoża 59,,,Hoża,59
2026,52.22537,21.00835,Hoża 57,,,Hoża,57
2027,52.22522,21.00928,Hoża 70,warszawa,,Hoża,70
2028,52.22523,21.00913,Hoża 72,warszawa,,Hoża,72
2034,52.22650,21.00942,Wspólna 61,,,Wspólna,61
2035,52.22647,21.01047,Wspólna 57,,,Wspólna,57
2047,52.22535,21.00698,E. Plater 25,,,E. Plater,25
2048,52.22578,21.00708,E. Plater 20,warszawa,,E. Plater,20
2061,52.22221,21.01010,S. Noakowskiego 18,,,S. Noakowskiego,18
2062,52.22092,21.00763,Nowowiejska 20,,,Nowowiejska,20
2064,52.22098,21.00775,Nowowiejska 12/18,Warszawa,,Nowowiejska,12/18
2065,52.22220,21.00692,Koszykowa 75,Warszawa,,Koszykowa,75
2072,52.21815,21.01251,al. Armii Ludowej 16,warszawa,,al. Armii Ludowej,16
2241,52.21928,21.01499,L. Waryńskiego 3,Warszawa,,L. Waryńskiego,3
5523,52.21618,21.01663,L. Waryńskiego 12,Warszawa,,L. Waryńskiego,12
5525,52.22021,21.01621,L. Waryńskiego 26,Warszawa,,L. Waryńskiego,26